B = 6
5% 48044 62251.6
10% 95569 131050
15% 142790 164562
20% 189685 195671
25% 236578 250206
30% 283361 285432
35% 329946 310585
40% 376605 377036
45% 423176 409485
50% 469806 432639
55% 516284 486871
60% 562751 491904
65% 609207 497043
70% 655711 615116
75% 702290 615116
80% 748804 691055
85% 795373 693573
90% 841913 725290
95% 888437 770627
100% 935017 808263
__________________________
B = 10
5% 48152 42521.1
10% 95731 89754.4
15% 142951 132249
20% 189869 182061
25% 236768 224743
30% 283585 264774
35% 330364 316800
40% 377006 361234
45% 423591 409337
50% 470231 463754
55% 516800 506391
60% 563339 545639
65% 609907 586330
70% 656378 632504
75% 702930 685821
80% 749394 728000
85% 795911 770546
90% 842429 812192
95% 888881 842254
100% 935333 880647
__________________________
B = 14
5% 48126 47416
10% 95659 92762.5
15% 142814 137836
20% 189800 183233
25% 236698 226588
30% 283523 270277
35% 330299 317775
40% 376896 362247
45% 423550 407859
50% 470073 452933
55% 516596 498352
60% 563187 544706
65% 609836 589521
70% 656330 633393
75% 702814 680831
80% 749302 725069
85% 795837 772074
90% 842243 819764
95% 888700 864933
100% 935181 914470
__________________________
