B = 6
5% E = 4672.82; sigma = 597.407
10% E = 9366.64; sigma = 1230.16
15% E = 14229.7; sigma = 1828.43
20% E = 19000.1; sigma = 2519.46
25% E = 23311.4; sigma = 2931.59
30% E = 28089.8; sigma = 3528.91
35% E = 32945.1; sigma = 4131.26
40% E = 37476.9; sigma = 4880.36
45% E = 42088.4; sigma = 5666.84
50% E = 46739.8; sigma = 6317.68
55% E = 51539.7; sigma = 6886.8
60% E = 56652.7; sigma = 7708.43
65% E = 61560.3; sigma = 8536.29
70% E = 66014.5; sigma = 9314.02
75% E = 70975.6; sigma = 9993.59
80% E = 75716.7; sigma = 10463
85% E = 80476.4; sigma = 11299
90% E = 85284.8; sigma = 11588.4
95% E = 89794.4; sigma = 11835.1
100% E = 94965.8; sigma = 12404.2
__________________________
B = 10
5% E = 4737.43; sigma = 147.731
10% E = 9396.58; sigma = 274.896
15% E = 14067.7; sigma = 431.088
20% E = 18724.5; sigma = 573.511
25% E = 23414.4; sigma = 677.568
30% E = 27967.9; sigma = 830.296
35% E = 32508.4; sigma = 1024.3
40% E = 37110; sigma = 1203.87
45% E = 41856.4; sigma = 1321.32
50% E = 46472.8; sigma = 1550.2
55% E = 51062.1; sigma = 1665.22
60% E = 55736.5; sigma = 1679.72
65% E = 60366.6; sigma = 1839.68
70% E = 65046.7; sigma = 1953.3
75% E = 69750.5; sigma = 2161.76
80% E = 74268.2; sigma = 2294.53
85% E = 78924; sigma = 2476.04
90% E = 83389.3; sigma = 2571.72
95% E = 87991.9; sigma = 2800.63
100% E = 92412.6; sigma = 3098.85
__________________________
B = 14
5% E = 4724.82; sigma = 32.3824
10% E = 9388.45; sigma = 60.0186
15% E = 14029.7; sigma = 99.3241
20% E = 18665.6; sigma = 131.511
25% E = 23293.5; sigma = 161.254
30% E = 27927.3; sigma = 223.16
35% E = 32531.6; sigma = 260.677
40% E = 37146.3; sigma = 320.526
45% E = 42691.8; sigma = 232.471
50% E = 47001.5; sigma = 286.829
55% E = 51399.6; sigma = 315.253
60% E = 55883.5; sigma = 364.611
65% E = 60378.5; sigma = 404.042
70% E = 64901.6; sigma = 419.482
75% E = 69467.2; sigma = 448.939
80% E = 74033.7; sigma = 471.186
85% E = 78563.2; sigma = 486.64
90% E = 83116.7; sigma = 537.903
95% E = 87668.8; sigma = 601.201
100% E = 92213.8; sigma = 623.17
__________________________
