B = 14
5% E = 4721.66; sigma = 28.9119
10% E = 9376.36; sigma = 56.3468
15% E = 14017.4; sigma = 87.0802
20% E = 18679.9; sigma = 123.695
25% E = 23323.8; sigma = 164.652
30% E = 27925.4; sigma = 229.234
35% E = 32550.1; sigma = 287.586
40% E = 37202; sigma = 342.879
45% E = 42737.9; sigma = 260.498
50% E = 47080.1; sigma = 306.991
55% E = 51472.8; sigma = 360.024
60% E = 55950.5; sigma = 409.945
65% E = 60460.3; sigma = 424.083
70% E = 64989.7; sigma = 475.006
75% E = 69552.2; sigma = 528.811
80% E = 74089.5; sigma = 579.599
85% E = 78655.2; sigma = 607.194
90% E = 83258.2; sigma = 632.676
95% E = 87839.6; sigma = 657.531
100% E = 92427.4; sigma = 691.787
__________________________
